text,label
அருமை படைப்புகள் நன்றி சகோ,Non-Hate-Speech
3 : 49 உனக்கு gay புள்ள பொறந்தா என்னடா பண்ணுவ..   தப்பா பேசாதடா.... கே தாண்டா தனி திறமையாளர்கள்...  உன்ன மாதிரி கூமுட்ட கிடையாது....  சமூகத்தில் பெண்ணை மதிப்பவர்கள்...  love பண்ணி ஏமாற்ற மாட்டார்கள்....  விரும்பினால் உயிர் கூட விடுவாங்க.....,Non-Hate-Speech
Nishanthini Krishnamoorthy மன்னிப்பு  தமிழ்ல  எனக்கு  புடிக்காத  ஒரே வார்த்தை 🤣🤣🤣🤣😅😅😅😅😅😅சீ பே,Non-Hate-Speech
செமையா  சகோ,Non-Hate-Speech
இறைவனின் மறுபிறவி மனித மிருகங்களால் எந்த தொல்லை வந்தாலும் அதை தாங்கிக்கொண்டு வாழ்கை நடத்தும் திருநங்கை எல்லாம் இறைவனின் திருவிளையாடல்.,Non-Hate-Speech
சங்கிகளை எதிர்க்கும் குயர்கள்❤️🔥,Non-Hate-Speech
நீ மொத ஆம்பலயா பொம்பலயா அத சொல்லு மூதேவி,Hate-Speech
Desi Gamer okkk trying to reply in a decent way 🙂🙂 என் மதத்தில் கூறியுள்ள அனைத்தையும் நான் எடுத்துக்கொள்ள வேண்டும் என்ற அவசியம் எனக்கு இல்லை... பல விஷயங்களில் எ‌ன்னுடைய சுய பகுத்தறிவே போதுமானது நண்பரே 🙂,Non-Hate-Speech
நான் ஒரு பெண்..... என்னை விட நீங்க அழகு,Non-Hate-Speech
நா பார்லர் வச்சி இருக்க வாங்க,Non-Hate-Speech
ganesh s Sakthi என்னா பண்றிக,Non-Hate-Speech
ஒருசிலர் குடும்பத்தில் கவனிக்கப்படாத சிறுவர்களை தன் போக்கில் போய்க் கொண்டிருப்பார்கள் அப்போது அவர்கள் அன்பை தேடும் பொழுது அது பெண்களிடம் மட்டும் தான் அறிந்து கொள்ள முடியும் அவ்வாறு இருக்கும் சிறுவர்களுக்கு அந்தப் பெண்ணுடைய அணிந்து பார்ப்பதற்கு ஆர்வமாக இருக்கும் ஒருசில மாற்றங்கள் ஏற்படும் ஆண்கள் இச்சைக்காக எத்தனையோ சிறுவர்களை பாலியல் பண்ணிக் கொண்டுதான் இருக்கிறார்கள் அந்த சிறுவர்கள் மணக்கோலத்தில் இருப்பார்கள் அவர்களில் ஒரு வயதுக்குப் பின் உணர்ந்து கொள்வார்கள்,Non-Hate-Speech
சமுதாயத்தால் அவர்கள் புறக்கணிக்கப்படும் போது இயலாமையின் வெளிப்பாடாகவே வேறுவழியின்றி இவ்வாறு  நடந்துகொள்கிறார்கள்,Non-Hate-Speech
இந்திய ஒன்றியம் கிறித்தவ நாடு இல்லை! மதசார்பற்ற நாடு.,Non-Hate-Speech
Ammu Ammupappa குடுத்துட்டாங்கம்மா கொடுத்துட்டாங்க 😭😭.....,Non-Hate-Speech
அருமை நண்பா 👌,Non-Hate-Speech
அனைவருக்கும் வணக்கம் தமிழ்   பேசுவோம்.. ஆணும் பெண்ணும் கல்யாணம் பண்ணனும் சொல்ற எல்லாருக்கும் ஒரு விஷயம் தெரிஞ்சுனும் உங்களுக்கு யார் இதை சொன்னாங்க... ச*** பண்றது எப்படின்னு சொல்லிக் கொடுத்தாங்களா.. யாருக்கு யாரும் சொல்லிக் கொடுப்பதில்லை யாருக்கு யார் மேல் காதல் வருவது என்று தெரியவில்லை ஆணும் பெண்ணும் தான் வாழ வேண்டுமென்றால் அதர்ஷ் பிபிள் எல்லாம் செத்துப்போவனுமா....,Non-Hate-Speech
"மனஸாட்சிக்கும் , நம்பியவர்களுக்கும் , தெய்வத்துக்கும்  நேர்மையாக​  இருக்க​  வேண்டும், ஒழுக்கத்தை உயிரினும் மேலாக​ கருதவேண்டும்,  பிரர்  உடமைகளுக்கு  ஆசை  படக்கூடாது,  பிரர்  மனம்  நோகும்  படி  நமது  செயல்கள்  இருக்ககூடாது,  யாரையும்  நம்பவைத்தோ  கூடவே  இருந்து  குழி  பறித்தோ  கழுத்தறுத்து  லாபம்  அடையக்கூடாது, பொய்  புரட்டில்  ஈடுபடக்கூடாது,  பிற​  உயிர்களை மதிக்கவேண்டும், மற்றபடி  ஒரு  மனிதனுக்கு  தன்  விருப்பபடி  வாழ்கையை்  அமைத்துக்கொள்ளவும்  அதன்  படி  வாழ்ந்துகாட்டவும்  முழு  உரிமையும்  சுதந்திரமும்  உண்டு.; நீதிமன்றத்தின்  இந்த​  தீர்ப்பை  நான்  முழூ  மனதோடு  ஆதரித்து  ஆத்மார்தமாக​  ஏற்றுக்கொள்கிறேன்.",Non-Hate-Speech
மனித இனம் விரைவில் அழியும்னு சொன்னாங்க . அப்ப நான் நம்பவில்லை . அப்ப புரியவில்லை.இப்ப புரியுது,Hate-Speech
பப்ளிக்ள போனா உங்கள் மாறி ஆளுங்க violence கெளப்பிட்டு இருப்பீங்கனு தான் அதிகமா வெளிய தல காட்ல போல!,Hate-Speech
மதத்தையும்...சாதியையும் முருக கட்டி பிடித்து கொண்டிருப்பவர்களுக்கு இது தவறு  .,Non-Hate-Speech
