id,prediction,true
1,0,1
2,1,1
3,0,0
4,0,1
5,0,1
6,0,0
7,0,1
8,0,1
9,0,0
10,0,1
11,0,0
12,0,1
13,0,0
14,0,1
15,0,0
16,0,0
17,0,1
18,0,0
19,0,0
20,0,1
21,1,1
22,1,1
23,0,0
24,0,0
25,0,0
26,0,1
27,0,0
28,0,0
29,0,1
30,0,0
31,0,0
32,0,1
33,0,1
34,0,1
35,0,0
36,0,1
37,0,1
38,0,1
39,0,1
40,0,0
41,0,1
42,0,1
43,0,0
44,0,1
45,0,0
46,0,0
47,0,1
48,0,0
49,0,1
50,0,1
51,0,1
52,0,0
53,0,1
54,0,0
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,1,1
61,0,0
62,0,1
63,0,1
64,1,1
65,0,0
66,1,0
67,1,1
68,0,1
69,0,0
70,0,0
71,0,0
72,1,1
73,0,1
74,0,1
75,0,0
76,1,1
77,0,1
78,1,1
79,0,1
80,0,0
81,0,0
82,0,0
83,0,1
84,0,1
85,1,1
86,0,1
87,0,1
88,1,1
89,1,1
90,0,1
91,0,1
92,0,1
93,0,0
94,0,0
95,0,1
96,0,1
97,0,0
98,0,1
99,1,1
100,0,1
101,0,1
102,0,1
103,1,1
104,1,1
105,1,1
106,0,1
107,1,1
108,1,1
109,1,1
110,0,1
111,0,1
112,1,1
113,0,0
114,0,0
115,0,0
116,0,1
117,1,1
118,0,1
119,0,1
120,1,1
121,0,0
122,0,1
123,0,1
124,0,1
125,0,0
126,0,1
127,0,0
128,0,1
129,0,0
130,0,1
131,1,1
132,1,1
133,1,1
134,0,0
135,0,1
136,1,1
137,0,1
138,0,1
139,0,0
140,0,1
141,1,1
142,1,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,0
152,0,1
153,0,1
154,0,0
155,0,0
156,1,1
157,0,1
158,1,1
159,0,1
160,0,1
161,1,1
162,1,1
163,0,1
164,1,1
165,0,0
166,0,1
167,0,1
168,0,1
169,0,1
170,1,1
171,1,1
172,0,0
173,0,1
174,1,1
175,0,1
176,0,1
177,0,1
178,0,1
179,0,0
180,0,1
181,0,1
182,0,0
183,0,1
184,0,0
185,1,1
186,0,1
187,0,0
188,0,0
189,0,1
190,1,1
191,0,0
192,0,1
193,0,1
194,0,0
195,0,0
196,0,1
197,0,0
198,0,1
199,0,1
200,0,0
201,0,1
202,0,1
203,0,0
204,0,0
205,0,1
206,0,0
207,0,0
208,0,1
209,0,1
210,0,0
211,0,1
212,0,1
213,0,1
214,0,0
215,0,1
216,0,1
217,0,1
218,0,1
219,0,0
220,0,1
221,0,1
222,0,1
223,0,1
224,1,1
225,0,1
226,0,1
227,1,1
228,1,1
229,0,1
230,1,1
231,0,0
232,0,1
233,0,1
234,0,1
235,0,0
236,0,0
237,0,0
238,0,1
239,0,1
240,0,1
241,1,1
242,0,0
243,0,1
244,1,1
245,1,1
246,0,0
247,0,1
248,0,1
249,0,1
250,1,1
251,1,1
252,1,1
253,1,1
254,0,1
255,0,0
256,1,1
257,0,1
258,0,1
259,1,1
260,0,1
261,0,0
262,0,1
263,1,1
264,0,1
265,1,1
266,0,1
267,0,1
268,0,1
269,0,1
270,0,1
271,0,0
272,1,0
273,0,1
