id,prediction,true
1,1,1
2,1,0
3,0,1
4,0,1
5,0,1
6,0,1
7,1,1
8,0,1
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,1,1
18,0,0
19,0,0
20,1,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,0
26,0,0
27,1,1
28,0,0
29,0,1
30,0,0
31,1,1
32,1,1
33,0,0
34,0,0
35,0,1
36,0,1
37,0,0
38,0,0
39,1,1
40,0,1
41,1,1
42,0,0
43,0,1
44,1,1
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,1
51,0,0
52,0,0
53,0,1
54,0,1
55,1,1
56,0,0
57,0,1
58,0,1
59,0,0
60,0,1
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,1
68,0,1
69,0,1
70,0,0
71,0,1
72,0,0
73,0,1
74,1,1
75,1,1
76,0,1
77,0,1
78,0,0
79,0,0
80,0,1
81,0,1
82,1,1
83,1,1
84,0,1
85,0,1
86,0,1
87,0,1
88,0,0
89,1,1
90,0,1
91,0,0
92,1,1
93,0,1
94,1,0
95,0,1
96,0,0
97,0,1
98,0,0
99,0,0
100,0,1
101,0,0
102,1,1
103,0,0
104,0,1
105,0,1
106,1,1
107,0,1
108,0,0
109,0,0
110,0,1
111,0,1
112,0,0
113,0,0
114,1,1
115,0,0
116,1,1
117,0,0
118,0,1
119,0,1
120,0,0
121,1,1
122,0,0
123,0,0
124,0,0
125,1,1
126,0,1
127,1,1
128,0,1
129,1,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,1
135,0,1
136,0,1
137,0,0
138,0,0
139,1,1
140,1,1
141,0,0
142,0,0
143,1,1
144,0,0
145,0,0
146,0,1
147,0,0
148,0,1
149,0,0
150,0,1
151,1,1
152,0,1
153,1,1
154,0,1
155,0,0
156,0,1
157,0,0
158,0,0
159,0,0
160,1,1
161,1,1
162,0,1
163,0,1
164,1,1
165,0,0
166,0,0
167,1,1
168,1,1
169,1,1
170,0,1
171,1,1
172,0,1
173,0,0
174,0,0
175,0,1
176,1,1
177,0,0
178,1,1
179,0,0
180,1,1
181,1,1
182,1,1
183,0,1
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,1
190,0,1
191,0,1
192,0,1
193,0,0
194,0,0
195,1,1
196,0,1
197,0,1
198,0,0
199,0,1
200,1,1
201,1,1
202,1,1
203,1,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,0
209,0,0
210,0,1
211,0,0
212,1,1
213,1,1
214,1,1
215,1,1
216,0,0
217,1,1
218,0,0
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,0
225,0,1
226,0,1
227,1,1
228,0,0
229,0,0
230,0,1
231,1,1
232,0,1
233,0,1
234,0,0
235,1,1
236,0,1
237,0,1
238,1,0
239,0,1
240,0,1
241,1,1
242,0,0
243,1,1
244,0,0
245,0,1
246,0,1
247,1,1
248,0,0
249,0,0
250,1,1
251,0,0
252,0,1
253,1,1
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,0,0
260,1,0
261,0,1
262,1,0
263,0,0
264,0,1
265,1,1
266,0,0
267,0,1
268,0,0
269,1,1
270,0,1
271,1,1
272,0,1
273,0,1
274,0,1
275,0,1
276,1,1
277,0,1
278,1,1
279,0,0
280,1,1
281,0,1
282,0,1
283,0,0
284,0,0
285,0,1
286,0,0
287,0,1
288,0,1
289,0,1
290,0,0
291,0,1
292,0,1
293,0,0
294,0,1
295,1,1
296,0,1
297,0,1
298,0,0
299,1,1
300,1,1
301,1,1
302,1,1
303,0,0
304,0,0
305,0,1
306,1,1
307,0,1
308,0,1
309,0,1
310,0,1
311,0,1
312,0,0
313,1,1
314,0,0
315,0,0
316,0,0
317,0,1
318,1,1
319,0,0
320,0,1
321,0,0
322,0,0
323,1,1
324,1,0
325,1,1
326,0,0
327,0,1
328,0,0
329,0,0
330,0,1
331,0,0
332,1,1
333,0,0
334,1,1
335,1,1
336,1,1
337,1,1
338,0,1
339,1,0
340,0,1
341,0,1
342,0,0
343,0,1
344,1,1
345,0,1
346,0,1
347,0,0
348,0,0
349,0,1
350,0,1
351,0,1
352,1,0
