id,prediction,true
1,1,1
2,1,0
3,0,1
4,0,1
5,0,1
6,0,0
7,1,1
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1
18,0,0
19,0,0
20,1,1
21,0,0
22,0,1
23,1,1
24,0,1
25,0,0
26,0,0
27,1,1
28,0,0
29,0,0
30,0,0
31,1,1
32,1,1
33,0,0
34,1,0
35,0,1
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,1,1
42,0,0
43,0,1
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,1,1
51,0,0
52,0,0
53,0,0
54,0,0
55,1,1
56,0,0
57,0,1
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,1
68,0,1
69,0,0
70,0,0
71,0,1
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,1
78,0,0
79,1,0
80,0,1
81,0,0
82,1,1
83,0,1
84,0,0
85,0,1
86,0,1
87,0,1
88,0,0
89,0,0
90,0,1
91,0,0
92,0,1
93,0,0
94,1,0
95,0,1
96,0,0
97,1,1
98,0,1
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,1
105,0,0
106,1,1
107,0,0
108,0,0
109,0,0
110,0,1
111,0,0
112,0,0
113,0,0
114,0,0
115,1,0
116,1,1
117,0,0
118,0,1
119,1,1
120,1,1
121,1,1
122,0,0
123,0,1
124,0,0
125,1,1
126,0,1
127,1,1
128,1,1
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,1
135,0,1
136,0,0
137,0,0
138,0,0
139,0,1
140,0,0
141,0,0
142,0,0
143,0,1
144,0,0
145,0,0
146,0,0
147,0,0
148,0,1
149,0,0
150,0,0
151,0,1
152,0,0
153,0,0
154,0,1
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,1
161,0,0
162,0,0
163,0,0
164,0,1
165,0,0
166,0,0
167,0,1
168,1,1
169,1,1
170,0,1
171,0,1
172,0,0
173,0,0
174,0,0
175,0,0
176,1,0
177,0,0
178,0,1
179,0,0
180,0,1
181,1,1
182,0,1
183,0,1
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,1
191,0,1
192,0,1
193,0,0
194,0,0
195,1,1
196,0,1
197,0,1
198,0,0
199,0,1
200,1,1
201,0,1
202,0,0
203,0,1
204,0,1
205,0,0
206,0,1
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,1,0
213,0,0
214,1,1
215,0,0
216,0,0
217,0,1
218,0,0
219,0,1
220,0,1
221,1,1
222,1,1
223,0,0
224,0,0
225,0,1
226,0,1
227,0,0
228,1,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,1
236,1,1
237,0,1
238,0,1
239,0,1
240,1,0
241,1,1
242,1,0
243,0,0
244,0,0
245,0,0
246,0,1
247,1,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,1
253,0,1
254,0,0
255,0,0
256,0,1
257,0,1
258,0,0
259,0,0
260,0,0
261,1,1
262,0,0
263,0,0
264,0,0
265,0,1
266,0,0
267,0,1
268,0,0
269,0,0
270,1,0
271,0,0
272,0,0
273,0,1
274,0,1
275,0,1
276,1,1
277,0,1
278,1,1
279,0,0
280,1,1
281,1,1
282,0,0
283,0,0
284,0,0
285,0,1
286,0,0
287,0,1
288,0,1
289,0,0
290,0,0
291,0,0
292,0,1
293,0,0
294,0,0
295,1,0
296,0,1
297,0,0
298,0,0
299,0,1
300,1,1
301,0,1
302,0,0
303,0,0
304,0,0
305,0,1
306,1,1
307,0,0
308,0,1
309,0,1
310,0,0
311,0,1
312,0,0
313,0,1
314,1,0
315,0,0
316,0,0
317,0,0
318,1,1
319,1,0
320,1,1
321,0,0
322,0,0
323,1,1
324,1,0
325,0,1
326,0,0
327,1,1
328,0,0
329,0,0
330,0,1
331,0,0
332,0,0
333,0,0
334,0,1
335,0,1
336,1,1
337,1,1
338,0,1
339,0,0
340,0,1
341,1,1
342,0,0
343,0,0
344,1,1
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
