id,prediction,true
1,0,0
2,1,0
3,0,0
4,0,1
5,0,1
6,0,0
7,0,0
8,0,1
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,0
16,0,0
17,0,1
18,1,0
19,0,0
20,0,1
21,0,1
22,0,1
23,0,0
24,0,0
25,0,0
26,0,1
27,0,0
28,0,0
29,0,1
30,0,0
31,0,0
32,0,1
33,0,1
34,0,1
35,0,0
36,0,0
37,0,1
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,1,1
45,0,1
46,0,1
47,0,1
48,0,0
49,0,0
50,0,1
51,0,0
52,0,0
53,0,1
54,0,0
55,1,1
56,1,0
57,0,1
58,0,1
59,0,1
60,0,1
61,0,0
62,0,1
63,0,1
64,1,1
65,0,0
66,0,0
67,0,1
68,0,0
69,0,0
70,0,1
71,0,0
72,0,0
73,0,1
74,0,1
75,0,0
76,1,0
77,0,1
78,0,1
79,0,1
80,0,0
81,0,1
82,0,0
83,0,0
84,0,0
85,1,0
86,0,0
87,0,0
88,0,0
89,1,1
90,0,1
91,0,1
92,1,1
93,0,0
94,0,0
95,0,1
96,0,1
97,0,0
98,0,0
99,0,1
100,0,1
101,1,1
102,0,0
103,1,1
104,0,1
105,1,0
106,0,0
107,0,1
108,1,1
109,1,1
110,1,1
111,0,0
112,1,1
113,0,0
114,0,0
115,0,0
116,0,0
117,1,1
118,0,1
119,1,0
120,1,1
121,0,0
122,0,1
123,1,1
124,0,1
125,0,0
126,0,0
127,0,0
128,0,1
129,0,0
130,0,1
131,1,1
132,1,1
133,1,1
134,0,0
135,1,0
136,0,1
137,0,1
138,1,1
139,0,0
140,1,0
141,1,1
142,0,0
143,0,1
144,0,0
145,0,0
146,0,1
147,0,1
148,0,1
149,0,0
150,0,0
151,0,0
152,0,0
153,0,1
154,0,0
155,0,0
156,1,1
157,0,1
158,1,1
159,0,0
160,0,1
161,0,1
162,1,1
163,0,1
164,1,1
165,0,0
166,0,0
167,0,0
168,0,1
169,0,0
170,1,1
171,1,1
172,0,0
173,0,0
174,1,1
175,0,1
176,0,0
177,0,1
178,0,1
179,0,0
180,0,1
181,1,1
182,0,1
183,0,1
184,0,0
185,0,1
186,0,0
187,0,0
188,0,0
189,0,1
190,1,1
191,0,0
192,0,0
193,0,1
194,0,0
195,0,1
196,0,1
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,1
203,0,0
204,0,0
205,0,1
206,0,0
207,0,1
208,0,1
209,0,1
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,1
216,0,1
217,0,0
218,0,0
219,0,0
220,0,0
221,0,1
222,0,0
223,0,1
224,0,1
225,1,1
226,0,1
227,1,1
228,0,1
229,0,0
230,1,1
231,0,0
232,0,0
233,0,1
234,0,1
235,0,0
236,0,0
237,0,0
238,0,1
239,0,1
240,0,0
241,1,0
242,0,0
243,0,0
244,1,1
245,1,0
246,0,1
247,1,0
248,0,0
249,0,1
250,0,1
251,1,0
252,1,1
253,1,1
254,0,1
255,0,0
256,1,1
257,0,1
258,0,1
259,1,1
260,0,1
261,0,0
262,0,1
263,0,1
264,0,0
265,0,1
266,0,1
267,0,1
268,0,0
269,0,0
270,0,1
271,0,0
272,0,0
273,0,1
274,0,0
275,0,0
276,1,1
277,0,0
278,0,0
279,0,0
280,0,0
281,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,0,1
287,0,1
288,0,0
289,0,0
290,0,0
291,0,1
292,0,0
293,0,0
294,0,0
295,0,1
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,1
307,0,0
308,0,0
309,0,0
310,0,0
311,0,1
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,1
318,0,0
319,0,0
320,0,0
321,0,1
322,0,0
323,0,1
324,0,0
325,0,0
326,0,0
327,0,1
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,1
336,0,0
337,0,0
338,0,1
339,0,0
340,0,0
341,0,1
342,0,0
343,0,1
344,0,1
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,1
352,0,0
353,0,1
354,0,0
355,0,1
356,0,0
357,0,0
358,0,1
359,0,1
360,0,0
361,0,0
362,0,0
363,0,1
364,0,1
365,0,0
366,0,1
367,0,0
368,0,1
369,0,1
370,0,0
371,0,1
372,0,1
373,0,1
374,0,0
375,1,1
376,1,1
377,0,1
378,1,1
379,0,0
380,1,0
381,1,1
382,1,1
383,0,1
384,1,1
385,0,1
386,1,1
387,0,1
388,0,0
389,0,1
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,1
397,1,1
398,1,1
399,0,1
400,0,1
401,0,0
402,0,0
403,0,1
404,0,0
405,0,1
406,0,0
407,0,0
408,0,1
409,0,0
410,0,0
411,1,1
412,0,0
413,0,0
414,0,1
415,0,1
416,0,1
417,0,0
418,0,1
419,0,0
420,0,1
421,0,1
422,0,0
423,0,1
424,0,1
425,1,0
426,0,0
427,0,0
428,0,1
429,1,0
430,1,1
431,0,0
432,0,0
433,0,0
434,0,0
435,1,1
436,1,0
437,1,1
438,0,1
439,1,1
440,1,1
441,0,0
442,1,1
443,1,0
444,1,0
445,1,0
446,0,1
447,1,0
448,1,1
449,1,1
450,0,0
451,0,0
452,0,1
453,0,1
454,0,0
455,0,1
456,0,1
457,0,1
458,0,1
459,0,1
460,0,0
461,0,0
462,0,1
463,0,1
464,0,1
465,0,1
466,0,1
467,0,1
468,1,0
469,0,0
470,1,1
