id,prediction,true
1,1,0
2,0,1
3,0,1
4,0,0
5,1,1
6,0,0
7,0,0
8,0,1
9,0,0
10,0,1
11,1,1
12,1,1
13,0,0
14,1,1
15,0,0
16,0,1
17,0,0
18,1,1
19,1,1
20,0,0
21,0,1
22,0,0
23,0,0
24,0,1
25,0,1
26,0,1
27,0,0
28,1,1
29,1,1
30,0,0
31,0,0
32,0,1
33,0,0
34,0,0
35,1,1
36,0,0
37,1,1
38,0,1
39,1,1
40,0,0
41,0,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,0,1
50,1,1
51,0,0
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,0,1
66,1,1
67,1,1
68,1,1
69,1,1
70,0,1
71,1,1
72,0,1
73,1,1
74,1,1
75,0,1
76,1,1
77,1,1
78,1,1
79,0,1
80,1,1
81,0,1
82,0,1
83,0,0
84,1,1
85,0,0
86,0,0
87,1,1
88,0,1
89,1,1
90,1,0
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,0,1
98,1,1
99,1,1
100,1,1
101,1,1
102,0,1
103,0,0
104,1,1
105,1,1
106,0,1
107,0,1
108,1,1
109,0,1
110,1,1
111,1,1
112,1,1
113,1,1
114,0,0
115,0,0
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,0,1
122,1,1
123,1,1
124,0,0
125,1,1
126,0,1
127,0,0
128,0,0
129,0,0
130,1,1
131,0,1
132,1,1
133,1,1
134,0,1
135,1,1
136,0,0
137,0,1
138,1,1
139,0,0
140,0,0
141,0,1
142,1,1
143,1,1
144,1,1
145,0,1
146,1,1
147,1,1
148,1,1
149,0,1
150,1,1
151,0,0
152,1,1
153,0,0
154,1,1
155,0,0
156,0,0
157,0,1
158,0,1
159,1,1
160,1,1
161,1,1
162,0,0
163,1,1
164,1,1
165,1,1
166,1,1
167,0,1
168,0,1
169,0,1
170,1,1
171,0,0
172,0,1
173,0,0
174,0,1
175,0,0
176,0,0
177,1,1
178,1,1
179,1,1
180,0,1
181,1,1
182,0,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,0,0
192,1,1
193,0,1
194,0,0
195,0,1
196,1,1
197,0,1
198,1,1
199,0,1
200,0,1
201,1,1
202,0,1
203,0,1
204,1,1
205,1,1
206,0,1
207,0,0
208,0,0
209,0,0
210,1,1
211,0,0
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,0,0
220,0,0
221,0,1
222,1,1
223,1,1
224,1,1
225,0,1
226,1,1
227,1,1
228,1,1
229,1,1
230,0,1
231,0,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,0,1
238,0,0
239,0,0
240,0,1
241,0,1
242,0,1
243,1,1
244,0,0
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,1,1
252,0,1
253,0,1
254,0,0
255,0,1
256,1,1
257,0,0
258,0,0
259,0,1
260,1,1
261,0,1
262,0,0
263,0,1
264,1,1
265,0,0
266,0,0
267,1,1
268,0,0
269,0,1
270,0,0
271,0,1
272,1,1
273,0,1
274,1,1
275,1,1
276,0,0
277,1,1
278,0,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,0,0
286,0,1
287,1,1
288,0,1
289,0,0
290,0,0
291,1,1
292,0,1
293,1,1
294,1,1
295,0,0
296,0,1
297,0,1
298,0,1
299,1,1
300,1,1
301,1,1
302,0,1
303,1,1
304,1,1
305,0,0
306,0,0
307,0,0
308,1,1
309,1,1
310,0,1
311,0,0
312,0,0
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,0,0
319,0,0
320,1,1
321,0,1
322,1,1
323,1,1
324,0,1
325,0,0
326,0,1
327,0,1
328,1,1
329,0,1
330,1,1
331,1,1
332,1,1
333,0,0
334,0,1
335,1,1
336,0,1
337,0,1
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,1
344,0,0
