label,text
0,  भारत में तीन किसान कानून बिल वापस लेने पर भक्तों की जो हालत हुई अब यह किसी से छुपा नहीं है उसके इलावा जो टट्टी खोर पत्रकार थे उनकी भी हालत खराब हुई है किसी को मुंह दिखाने के लायक नहीं है अब यह लोग यहां तक कि अपने घर में भी मुंह दिखाने के लायक नहीं रहे।
0,  राजस्थान  अजीबोगरीब  गांव की खुशहाली के लिए रात भर किन्नर करते है यह काम   
0,  सलमान ने की राखी के विरोधी की वकालत तो  आइटम गर्ल  ने दी धमकी   rakhisawant  salmankhan
0,  हर शब्द अमॄतम    पुरानी एक कहावत है    टूटी की नही बनी है बूटी  झूठी की नहीं कोई भी खूॅंटी  फूटी को क्या करेगा सूठी  रूठी तो बने काली कलूटी   अर्थात  जिस व्यक्ति का आत्मविश्वास अंदर से टूट जाये उसको ठीक करने की कोई बूटी यानी ओषधि या दवा आज तक सन्सार में नहीं बनी है।  amrutam
1, pm मोदी जी   की माँ के लिए अपशब्द कहने वाला दोगला भड़वा राजबब्बर वास्तव में किसी रंडी की ही औलाद होगा  हरामी साला रंडी का दल्ला
1, pappu बस में खड़ा था   अचानक ब्रेक लगी तो एक लड़की पर गिर पडा                      लड़की    ने थप्पड़ मरते हुये कहाँ बत्तमीज़  क्या कर रहे हो                         papu    iti        और आप      
0, कोरोना  मृत्यु वो मरे      जो काम करे चंडाल का       कोरोना  भी उस का क्या करे       जो भक्त हो  महाकाल  का       हर हर महादेव
1, रामराज  के नाम पर पूरे देश को  रंडीखाना  बना दिया  पहले मुजफ्फरपुर अब देवरिया धिक्कार है 
0, रिवाज नही है हमारा   किसी की मौत पर जश्न मनाने का  लैकिन ना जाने क्यूँ    आज फिजाओं में सुकूँ महक रहा है     मस्जिदें कबूल थीं   बस मंदिर खटक गए    भूमिपूजन से आहत  अहमद  सटक गए   घिसट ही रहे थे थोड़ा और घिसट जाते  अयोध्या तो देख लिया था काशी मथुरा और देख जाते   
0, वो बोले तुम बत्तमीज़ हो   मैंने कहा आप  निहायती  लगाना तो भूल ही गए       
1, स्वच्छकार समाज की आवाज  पर रमेश भंगी का यथार्थ   via  
0, हथियारों के खरीद को लेकर भारत पर दबाव बना रहा था अमरीका लेकिन भारत ने साफ कहा कि हम एक संप्रभु देश हैं और हम खुद तय करेंगे कि हमें हथियार कहाँ से खरीदने हैं।  देश सुरक्षित हाथों में है 
0, हे प्रभु  यह तो विचित्र कथा निकली। मैंने उस गुप्तचर से पूछताछ की जिसने यह धोबी वाली बात प्रभु तक पहुँचाई थी। पता चला कि उस गुप्तचर ने धोबी को कभी देखा ही नहीं था।    का व्यंग्य      
1,  ऐसे लोग जो सुबह से देर रात तक पानी पी पी कर मोदीजी को गाली देते  उनकी उन नीतियों की भी आलोचना करते है जिस कारण हम गर्व से सर उठाते है फिर भी कहते है कि मोदी राज मे बोलने की आजादी नही है  अब अगर मै इन्हे रंडी की औलाद कहु तो क्या गलत है 
0, bantablighijammat इस जमात को बैन किया जाना चाहिए। ये जिहादी टेररिस्ट पैदा कर रहा है। सारे मदरसे भी बंद करो। साले इतना झूठ पढ़ाए पड़े हैं कि सही में धरती चपटी हो जाएगी।
0,    चरित्रहीन  देश के सबसे बड़े गद्दार  पिशाच
0, breaking    सुप्रीम कोर्ट  ने एससी एसटी एक्ट  sc st ac  मामले में केंद्र सरकार की पुनर्विचार याचिका को स्वीकार कर लिया है । अब सुप्रीम कोर्ट ने अपने पुराने फैसले को पलट दिया है।  यानी इस एक्ट के तहत अब पहले की तरह ही शिकायत के बाद तुरंत गिरफ्तारी हो सकेगी।  scstact
0, congress    bjp एससी एसटी एक्ट को कर रही कमजोर   mayawati  scstact  
1,   में अपनी भूमिका से ध्यान हटाने को और साथ ही  वोट बैंक  को संभाले रखने की जो कला केजरीवाल जी ने विकसित कर ली है। उसी के चलते कन्हैया कुमार की बलि दे दी गई है। कन्हैया की हालत धोबी के कुत्ते जैसी हो गई है। बजरंगबली केजरीवाल जी पे कृपा दृष्टि बनाये रखे।
